date,app_type,classification,score_borda,relative_score
2017-01-21,Paid,Education Management,1063,0.004809214871920157
2017-01-21,Paid,Entertainment,10271,0.04646796420460201
2017-01-21,Paid,Hobby,7588,0.03432956015816571
2017-01-21,Paid,Licensing Exams,22478,0.10169476189183564
2017-01-21,Paid,Parents,491,0.002221377706597175
2017-01-21,Paid,Preschool,12524,0.0566609661861976
2017-01-21,Paid,Professional,1032,0.004668964955617688
2017-01-21,Paid,Subject Learning,36377,0.16457649049467502
2017-01-21,Paid,Teaching and Learning,560,0.002533546875141381
2017-01-21,Paid,Translating,1266,0.005727625614158908
2017-01-21,Paid,Unknown,126788,0.5736131092954025
2017-01-21,Paid,Well-being,596,0.0026964177456861842
2017-01-22,Free,Cognitive Development,7466,0.03095356550580431
2017-01-22,Free,Education Management,4971,0.02060945273631841
2017-01-22,Free,Licensing Exam,11541,0.04784825870646766
2017-01-22,Free,Non-Education,33875,0.1404436152570481
2017-01-22,Free,Parents,2983,0.012367330016583748
2017-01-22,Free,Preschool,7142,0.02961028192371476
2017-01-22,Free,Professional & Career,1493,0.00618988391376451
2017-01-22,Free,Subject Learning,72803,0.30183665008291877
2017-01-22,Free,Teaching and Learning,15964,0.06618573797678275
2017-01-22,Free,Unknown,82962,0.343955223880597
2017-01-22,Paid,Education Management,946,0.0041272375866567195
2017-01-22,Paid,Entertainment,10319,0.04502004720582525
2017-01-22,Paid,Hobby,7916,0.0345361656828484
2017-01-22,Paid,Licensing Exams,22074,0.09630511890894336
2017-01-22,Paid,Parents,725,0.0031630520616555196
2017-01-22,Paid,Preschool,13399,0.058457564929823874
2017-01-22,Paid,Professional,947,0.004131600417086589
2017-01-22,Paid,Subject Learning,37506,0.1636323181026923
2017-01-22,Paid,Teaching and Learning,712,0.003106335266067214
2017-01-22,Paid,Translating,1172,0.005113237263807267
2017-01-22,Paid,Unknown,132743,0.5791351997521912
2017-01-22,Paid,Well-being,750,0.003272122822402262
2017-01-23,Free,Cognitive Development,7595,0.031488391376451076
