year,country,rank_bin,app_type,unknown_ratio
2018,be,"[100, 110)",Free,29.88980716253444
2018,be,"[100, 110)",Paid,50.77134986225895
2018,be,"[110, 120)",Free,29.86225895316804
2018,be,"[110, 120)",Paid,51.81818181818182
2018,be,"[120, 130)",Free,28.07162534435262
2018,be,"[120, 130)",Paid,52.20527045769764
2018,be,"[130, 140)",Free,27.603305785123965
2018,be,"[130, 140)",Paid,51.55988857938719
2018,be,"[140, 150)",Free,26.639118457300277
2018,be,"[140, 150)",Paid,50.02785515320334
2018,be,"[150, 160)",Free,28.1267217630854
2018,be,"[150, 160)",Paid,47.54874651810585
2018,be,"[160, 170)",Free,30.192837465564736
2018,be,"[160, 170)",Paid,49.13649025069638
2018,be,"[170, 180)",Free,30.853994490358126
2018,be,"[170, 180)",Paid,48.579387186629525
2018,be,"[180, 190)",Free,29.77961432506887
2018,be,"[180, 190)",Paid,47.966573816155986
2018,be,"[190, 200)",Free,29.91735537190083
2018,be,"[190, 200)",Paid,48.6908077994429
2018,ch,"[0, 10)",Free,6.336088154269973
2018,ch,"[0, 10)",Paid,21.05586249232658
2018,ch,"[10, 20)",Free,21.019283746556475
2018,ch,"[10, 20)",Paid,46.49171270718232
2018,ch,"[20, 30)",Free,26.666666666666668
2018,ch,"[20, 30)",Paid,54.530386740331494
2018,ch,"[30, 40)",Free,27.741046831955924
2018,ch,"[30, 40)",Paid,54.77900552486188
2018,ch,"[40, 50)",Free,29.614325068870524
2018,ch,"[40, 50)",Paid,56.353591160220994
2018,ch,"[50, 60)",Free,24.986225895316807
2018,ch,"[50, 60)",Paid,57.26519337016575
2018,ch,"[60, 70)",Free,24.765840220385673
2018,ch,"[60, 70)",Paid,57.790055248618785
2018,ch,"[70, 80)",Free,22.865013774104685
2018,ch,"[70, 80)",Paid,52.56906077348066
2018,ch,"[80, 90)",Free,21.487603305785125
2018,ch,"[80, 90)",Paid,56.68508287292817
2018,ch,"[90, 100)",Free,24.077134986225897
2018,ch,"[90, 100)",Paid,58.7292817679558
2018,ch,"[100, 110)",Free,23.774104683195592
2018,ch,"[100, 110)",Paid,54.69613259668509
2018,ch,"[110, 120)",Free,22.34159779614325
2018,ch,"[110, 120)",Paid,53.34254143646409
2018,ch,"[120, 130)",Free,22.176308539944902
2018,ch,"[120, 130)",Paid,54.48256779192031
2018,ch,"[130, 140)",Free,21.8732782369146
2018,ch,"[130, 140)",Paid,54.6875
2018,ch,"[140, 150)",Free,22.506887052341597
2018,ch,"[140, 150)",Paid,53.63128491620112
2018,ch,"[150, 160)",Free,22.36914600550964
2018,ch,"[150, 160)",Paid,55.36312849162012
2018,ch,"[160, 170)",Free,23.112947658402202
2018,ch,"[160, 170)",Paid,53.65921787709497
2018,ch,"[170, 180)",Free,25.123966942148762
2018,ch,"[170, 180)",Paid,54.779927109615926
